===== actor=cloud_admin — all events =====

===== root WRITE events per day (UploadServerCertificate/CreateAccessKey/PutUserPolicy) =====

===== 2026-03-08 19:00-23:00 WRITE events (non-root-noise), any actor =====
19:01:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:13:05 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:05 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:05 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:06 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:06 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:06 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:06 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:06 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:07 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:07 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:07 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:07 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:07 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:08 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:08 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:08 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:09 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:09 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:09 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:09 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:10 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:10 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:10 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:10 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:10 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:11 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:11 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:11 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:11 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:11 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:12 | PutObject              | AWSService     | s3.amazonaws.com
22:13:12 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:12 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:12 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:12 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:13 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:13 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:13 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:13 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:13 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:13 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:14 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:14 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:14 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:14 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:14 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:15 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:15 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:15 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:15 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:15 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:16 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:16 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:16 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:16 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:17 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:17 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:18 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:18 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:18 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:18 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:18 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:19 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:19 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:19 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:19 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:19 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:20 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:20 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:20 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:20 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:21 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:21 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:21 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:21 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:21 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:22 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:22 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:22 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:22 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:22 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:23 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:23 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:23 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:23 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:24 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:24 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:24 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:24 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:24 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:24 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:25 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:26 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:26 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:26 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:26 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:26 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:27 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:27 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:27 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:27 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:27 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:28 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:28 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:28 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:28 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:28 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:29 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:29 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:29 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:29 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:29 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:29 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:30 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:30 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:30 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:30 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:30 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:31 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:31 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:31 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:31 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:31 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:32 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:32 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:32 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:32 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:33 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:33 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:33 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:33 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:33 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:33 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:34 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:34 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:34 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:34 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:34 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:35 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:35 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:35 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:35 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:35 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:36 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:37 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:37 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:37 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:37 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:38 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:38 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:38 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:38 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:39 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:40 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:41 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:42 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:43 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:44 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:45 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:46 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:47 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:48 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:49 | AssumeRole             | AWSService     | guardduty.amazonaws.com
22:13:51 | PutObject              | AWSService     | cloudtrail.amazonaws.com
22:14:00 | CreateOAuth2Token      | arn:aws:iam::464381121764:root | 216.82.9.162
22:15:00 | PutObject              | AWSService     | guardduty.amazonaws.com
22:15:17 | PutObject              | AWSService     | s3.amazonaws.com
